root - WARNING - Start of the File
root - WARNING - Number of features: 960
root - WARNING - Number of observations Train: 798
root - WARNING - Number of observations Test: 226
optuna.storages._in_memory - INFO - A new study created in memory with name: no-name-2ca3029c-1bec-49df-9675-0e5b65cf6ac7
optuna.study.study - INFO - Trial 19 finished with value: 1.1148060431737423 and parameters: {'learning_rate': 0.0037693178515277384, 'max_depth': 1, 'n_estimators': 11, 'min_child_samples': 5, 'min_child_weight': 0.024815899761339466, 'subsample': 0.6836572616981644, 'colsample_bytree': 0.9223683121051607, 'reg_alpha': 0.14984495796877134, 'reg_lambda': 0.4796181374386129, 'max_bin': 304, 'num_leaves': 14, 'min_split_gain': 0.06523745984635634, 'subsample_freq': 5, 'max_delta_step': 0.9042588093519258, 'scale_pos_weight': 0.001076079212278759}. Best is trial 19 with value: 1.1148060431737423.
optuna.study.study - INFO - Trial 8 finished with value: 1.1103947925340618 and parameters: {'learning_rate': 0.01466745875469129, 'max_depth': 4, 'n_estimators': 13, 'min_child_samples': 28, 'min_child_weight': 0.03639007471229782, 'subsample': 0.5218828747615507, 'colsample_bytree': 0.8906506209795779, 'reg_alpha': 0.12216220626586896, 'reg_lambda': 0.03522673814409323, 'max_bin': 262, 'num_leaves': 6, 'min_split_gain': 0.08504435559386347, 'subsample_freq': 7, 'max_delta_step': 0.5300485044963633, 'scale_pos_weight': 0.008471183004240934}. Best is trial 8 with value: 1.1103947925340618.
optuna.study.study - INFO - Trial 7 finished with value: 1.1087646903113528 and parameters: {'learning_rate': 0.0028778297645625558, 'max_depth': 1, 'n_estimators': 54, 'min_child_samples': 6, 'min_child_weight': 0.02524419054405678, 'subsample': 0.9983494245688211, 'colsample_bytree': 0.7601676674282056, 'reg_alpha': 0.2140793274439933, 'reg_lambda': 0.021469125784304, 'max_bin': 311, 'num_leaves': 13, 'min_split_gain': 0.07797403422799527, 'subsample_freq': 6, 'max_delta_step': 0.6698657088453657, 'scale_pos_weight': 0.03512175664642684}. Best is trial 7 with value: 1.1087646903113528.
optuna.study.study - INFO - Trial 1 finished with value: 1.111085226678822 and parameters: {'learning_rate': 0.006176279990931753, 'max_depth': 2, 'n_estimators': 26, 'min_child_samples': 13, 'min_child_weight': 0.02263834827570268, 'subsample': 0.533884840298108, 'colsample_bytree': 0.839273885909986, 'reg_alpha': 0.030494396031468616, 'reg_lambda': 0.03148856440244616, 'max_bin': 171, 'num_leaves': 10, 'min_split_gain': 0.06252786496062511, 'subsample_freq': 4, 'max_delta_step': 0.8165026510757576, 'scale_pos_weight': 0.0016106471999822322}. Best is trial 7 with value: 1.1087646903113528.
optuna.study.study - INFO - Trial 12 finished with value: 1.1098448897851942 and parameters: {'learning_rate': 0.0034217246741773703, 'max_depth': 1, 'n_estimators': 59, 'min_child_samples': 19, 'min_child_weight': 0.050988495892290334, 'subsample': 0.5270756346669057, 'colsample_bytree': 0.9273894887381291, 'reg_alpha': 0.19193528542041352, 'reg_lambda': 0.02994922993666736, 'max_bin': 454, 'num_leaves': 8, 'min_split_gain': 0.06958397369562999, 'subsample_freq': 8, 'max_delta_step': 0.7186672387951046, 'scale_pos_weight': 0.003104556193685921}. Best is trial 7 with value: 1.1087646903113528.
optuna.study.study - INFO - Trial 5 finished with value: 1.1140935826491754 and parameters: {'learning_rate': 0.00398231385342895, 'max_depth': 6, 'n_estimators': 17, 'min_child_samples': 22, 'min_child_weight': 0.014773073983117136, 'subsample': 0.5010002644430658, 'colsample_bytree': 0.7180418429792148, 'reg_alpha': 0.1343915505958414, 'reg_lambda': 0.21398041480140706, 'max_bin': 165, 'num_leaves': 8, 'min_split_gain': 0.07107743526268731, 'subsample_freq': 6, 'max_delta_step': 0.3341524005593103, 'scale_pos_weight': 0.0547882226148927}. Best is trial 7 with value: 1.1087646903113528.
optuna.study.study - INFO - Trial 21 finished with value: 1.112759365214501 and parameters: {'learning_rate': 0.006546103841652796, 'max_depth': 4, 'n_estimators': 10, 'min_child_samples': 14, 'min_child_weight': 0.009362966652997864, 'subsample': 0.6749663663682388, 'colsample_bytree': 0.9069166866208693, 'reg_alpha': 0.061873679348349364, 'reg_lambda': 0.04433847630335463, 'max_bin': 124, 'num_leaves': 5, 'min_split_gain': 0.05389834147674123, 'subsample_freq': 10, 'max_delta_step': 0.42510937996106335, 'scale_pos_weight': 0.0016608708212009285}. Best is trial 7 with value: 1.1087646903113528.
optuna.study.study - INFO - Trial 14 finished with value: 1.0939199391878984 and parameters: {'learning_rate': 0.047052549575034915, 'max_depth': 4, 'n_estimators': 26, 'min_child_samples': 19, 'min_child_weight': 0.01712413319310691, 'subsample': 0.8263819482220377, 'colsample_bytree': 0.9724724650246822, 'reg_alpha': 0.07889388734055928, 'reg_lambda': 0.11443096415739144, 'max_bin': 91, 'num_leaves': 6, 'min_split_gain': 0.057794428989734276, 'subsample_freq': 2, 'max_delta_step': 0.7089157107163894, 'scale_pos_weight': 0.002891439759532756}. Best is trial 14 with value: 1.0939199391878984.
optuna.study.study - INFO - Trial 18 finished with value: 1.1143378086667663 and parameters: {'learning_rate': 0.0025234956389438264, 'max_depth': 5, 'n_estimators': 17, 'min_child_samples': 23, 'min_child_weight': 0.0024933807811252273, 'subsample': 0.5544938126707677, 'colsample_bytree': 0.7268996436848797, 'reg_alpha': 0.042830415044971024, 'reg_lambda': 0.1847017142118934, 'max_bin': 277, 'num_leaves': 13, 'min_split_gain': 0.07547122564714326, 'subsample_freq': 9, 'max_delta_step': 0.41965443645734546, 'scale_pos_weight': 0.0658069316087178}. Best is trial 14 with value: 1.0939199391878984.
optuna.study.study - INFO - Trial 6 finished with value: 1.1131133716944057 and parameters: {'learning_rate': 0.002224766332715495, 'max_depth': 4, 'n_estimators': 28, 'min_child_samples': 20, 'min_child_weight': 0.03124535761959966, 'subsample': 0.5237540459554886, 'colsample_bytree': 0.7219420137665642, 'reg_alpha': 0.29278265009542753, 'reg_lambda': 0.16548160951490895, 'max_bin': 104, 'num_leaves': 13, 'min_split_gain': 0.08229954148125247, 'subsample_freq': 9, 'max_delta_step': 0.8182507562102012, 'scale_pos_weight': 0.05525881530057957}. Best is trial 14 with value: 1.0939199391878984.
optuna.study.study - INFO - Trial 26 finished with value: 1.0969258274319194 and parameters: {'learning_rate': 0.08384928558904464, 'max_depth': 2, 'n_estimators': 13, 'min_child_samples': 8, 'min_child_weight': 0.007367364904517045, 'subsample': 0.9280587852018837, 'colsample_bytree': 0.7005025040171088, 'reg_alpha': 0.05439462562242214, 'reg_lambda': 0.3144435495832421, 'max_bin': 312, 'num_leaves': 14, 'min_split_gain': 0.07168802696445503, 'subsample_freq': 9, 'max_delta_step': 0.8015455139338059, 'scale_pos_weight': 0.04123119423553609}. Best is trial 14 with value: 1.0939199391878984.
